City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind_Speed,Country,Date
Teya,60.38,92.63,54.01,90,100,4.83,RU,1595300994
Seymchan,62.88,152.43,78.67,35,2,9.6,RU,1595300853
Barpathār,26.3,93.87,80.94,83,98,6.73,IN,1595300994
San Vicente,-26.62,-54.13,61.25,81,29,4.21,AR,1595300995
Nador,35.17,-2.93,77.0,88,90,6.93,MA,1595300995
Ovalle,-30.6,-71.2,55.15,68,8,0.49,CL,1595300995
Comodoro Rivadavia,-45.87,-67.5,39.2,86,75,8.05,AR,1595300995
Pocola,35.23,-94.48,87.8,55,1,8.05,US,1595300995
Baykit,61.67,96.37,70.39,41,0,2.13,RU,1595300995
Denia,38.84,0.11,75.0,79,0,3.76,ES,1595300791
Kholm-Zhirkovskiy,55.52,33.47,55.94,94,1,5.79,RU,1595300995
Greensburg,40.3,-79.54,77.0,61,1,0.78,US,1595300724
Kalangala,-0.31,32.23,71.47,67,99,6.62,UG,1595300995
Kalmunai,7.42,81.82,83.16,73,100,1.97,LK,1595300996
Zheleznodorozhnyy,55.75,38.0,61.0,100,40,2.24,RU,1595300883
Margate,51.38,1.39,55.0,80,0,1.01,GB,1595300996
Micheweni,-4.97,39.83,74.28,80,19,12.97,TZ,1595300996
Mount Isa,-20.73,139.5,75.2,23,92,11.41,AU,1595300996
Meulaboh,4.14,96.13,82.33,77,99,2.19,ID,1595300996
Sobolevo,54.43,31.9,56.19,93,62,5.55,RU,1595300822
Neulengbach,48.2,15.9,61.0,10,0,2.68,AT,1595300996
Bhānpurī,21.1,80.92,84.27,67,100,11.86,IN,1595300996
Marsh Harbour,26.54,-77.06,82.87,78,84,15.97,BS,1595300716
Sørland,67.67,12.69,53.38,77,100,6.98,NO,1595300997
Karratha,-20.74,116.85,73.98,38,0,16.17,AU,1595300997
San Mauro Torinese,45.11,7.75,71.01,83,0,1.12,IT,1595300997
Safi,32.3,-9.24,68.14,88,14,6.82,MA,1595300997
Alekseyevskaya,50.29,42.18,61.0,83,1,1.01,RU,1595300997
Nanortalik,60.14,-45.24,47.32,67,49,1.61,GL,1595300997
Gerede,40.8,32.2,54.28,95,84,2.33,TR,1595300998
Korla,41.76,86.15,73.0,72,97,1.63,CN,1595300998
Padang,-0.95,100.35,86.0,70,20,3.36,ID,1595300998
Northwich,53.26,-2.51,48.0,93,40,4.7,GB,1595300998
Pringsewu,-5.36,104.97,85.62,66,47,2.57,ID,1595300785
Half Moon Bay,37.46,-122.43,68.0,93,90,5.82,US,1595300998
Kashgar,39.45,75.98,75.2,25,100,6.71,CN,1595300998
Pitsunda,43.16,40.34,77.0,94,90,6.71,GE,1595300998
Borba,-4.39,-59.59,75.22,66,95,2.17,BR,1595300998
Nazarovo,56.01,90.39,68.52,84,100,3.2,RU,1595300998
Srednekolymsk,67.45,153.68,82.71,28,14,13.27,RU,1595300818
Baruun-Urt,46.68,113.28,77.16,37,52,15.01,MN,1595300998
Mlonggo,-6.53,110.7,86.0,62,20,13.87,ID,1595300999
Necochea,-38.55,-58.74,51.01,94,100,11.99,AR,1595300999
Umluj,25.02,37.27,83.77,59,55,4.54,SA,1595300999
Åmot,59.57,7.99,48.0,80,3,5.99,NO,1595300999
Baltoji Vokė,54.6,25.2,62.01,87,75,10.29,LT,1595300999
Westport,41.14,-73.36,84.2,51,1,8.05,US,1595300830
Palu,-0.89,119.87,91.02,50,26,2.46,ID,1595300999
Zhicheng,30.3,111.5,79.0,88,100,2.37,CN,1595300999
Cherskiy,68.75,161.3,76.93,28,100,5.41,RU,1595300999
Mil'kovo,54.72,158.62,60.4,62,87,7.4,RU,1595300999
Chenzhou,25.8,113.03,91.58,53,78,7.78,CN,1595301000
Yabrūd,33.97,36.66,71.6,83,0,16.11,SY,1595301000
Ossora,59.24,163.07,56.88,64,0,12.86,RU,1595301000
Ástros,37.4,22.73,75.99,45,0,3.98,GR,1595301000
Beyneu,45.32,55.2,90.61,19,15,6.71,KZ,1595300707
Qaqortoq,60.72,-46.03,50.0,53,75,4.7,GL,1595300861
Sīrjān,29.45,55.68,75.61,19,0,6.67,IR,1595300767
Otjimbingwe,-22.35,16.13,50.23,46,0,6.42,NA,1595301000
Aksha,50.28,113.29,68.95,40,67,8.32,RU,1595301000
Vostok,46.49,135.88,61.72,100,100,1.86,RU,1595301000
Belyye Stolby,55.33,37.85,60.8,93,99,6.71,RU,1595301001
Prachuap Khiri Khan,11.82,99.78,84.72,71,100,4.27,TH,1595301001
Faya,18.39,42.45,66.2,77,100,4.5,SA,1595301001
Chernyshevskiy,63.01,112.47,55.38,93,100,9.22,RU,1595301001
Nueva Loja,0.08,-76.88,70.29,91,100,1.52,EC,1595301001
Alta Floresta,-9.88,-56.09,71.19,52,0,4.97,BR,1595300869
Baláo,-2.92,-79.82,70.2,85,73,6.15,EC,1595301001
Homa Bay,-0.53,34.46,65.28,73,80,4.97,KE,1595301002
Ust-Tsilma,65.44,52.15,62.91,59,0,5.17,RU,1595301002
Zeya,53.75,127.27,73.06,43,15,12.44,RU,1595301002
Sussex,41.18,-74.67,75.99,83,1,4.05,US,1595300819
Rome,43.21,-75.46,73.4,69,90,4.25,US,1595300763
Panguna,-6.32,155.48,78.19,84,25,1.97,PG,1595301002
Mocuba,-16.84,36.99,58.93,97,22,3.29,MZ,1595301003
Sokoni,-6.43,39.55,76.26,75,7,17.38,TZ,1595301003
Bay Roberts,47.6,-53.26,64.0,1,100,16.53,CA,1595301003
Jinchang,38.5,102.17,83.93,20,79,6.13,CN,1595301003
Santa Maria,-29.68,-53.81,73.4,60,87,5.82,BR,1595300867
Pindiga,9.98,10.93,70.03,96,90,7.38,NG,1595301004
Birao,10.28,22.79,68.61,95,27,3.89,CF,1595300876
Keuruu,62.27,24.7,62.01,93,100,4.7,FI,1595301004
Otacílio Costa,-27.48,-50.12,53.51,94,19,0.94,BR,1595301004
Boundiali,9.52,-6.49,70.54,97,94,4.38,CI,1595301004
Leshukonskoye,64.9,45.76,63.0,63,0,5.53,RU,1595301004
Ferkessédougou,9.6,-5.2,72.16,92,43,8.1,CI,1595301004
Hasaki,35.73,140.83,84.0,88,75,5.82,JP,1595301005
Livny,52.43,37.61,58.06,89,0,6.78,RU,1595301005
Marsá Maţrūḩ,31.35,27.25,71.6,83,0,6.93,EG,1595300868
Salta,-24.79,-65.41,59.0,87,80,2.35,AR,1595301005
Laas,46.62,10.7,57.2,100,5,1.77,IT,1595301005
Kifrī,34.7,44.97,89.13,12,0,8.03,IQ,1595301005
Moose Factory,51.26,-80.61,55.4,100,75,3.36,CA,1595301005
Boyolangu,-8.12,111.89,80.92,75,86,7.87,ID,1595301005
Blenheim,-41.52,173.95,57.99,70,65,5.99,NZ,1595301006
Mahina,-17.51,-149.49,82.4,61,20,4.7,PF,1595301006
Washougal,45.58,-122.35,89.01,42,1,9.17,US,1595301006
Malpe,13.35,74.72,77.0,94,75,4.7,IN,1595301006
Saint-Joseph,-21.37,55.62,64.4,63,90,6.93,RE,1595301006
Sabang,5.89,95.32,83.68,70,100,4.16,ID,1595301006
Qasigiannguit,68.82,-51.19,53.6,46,100,2.24,GL,1595301006
Jumla,29.27,82.18,67.68,60,82,4.76,NP,1595301007
Katima Mulilo,-17.5,24.27,39.2,59,0,1.12,NA,1595301007
Havelock,34.88,-76.9,84.99,48,20,9.17,US,1595300753
Tual,-5.67,132.75,79.41,85,100,19.46,ID,1595300807
Bundaberg,-24.85,152.35,71.6,46,100,20.8,AU,1595301007
Nova Aurora,-22.87,-52.57,64.2,65,0,9.19,BR,1595301007
Port Macquarie,-31.43,152.92,64.0,59,2,3.0,AU,1595301007
Potiskum,11.71,11.07,76.17,76,79,13.11,NG,1595301008
Houma,29.6,-90.72,80.6,88,1,3.36,US,1595301000
Cartagena del Chairá,1.33,-74.84,70.81,97,99,1.72,CO,1595301008
Langevåg,62.44,6.19,51.8,81,100,9.17,NO,1595301008
Saint Anthony,45.02,-93.22,75.99,57,20,5.82,US,1595301008
Tabou,4.42,-7.35,75.13,91,70,8.48,CI,1595301009
Solnechnyy,50.72,136.63,64.85,95,100,4.99,RU,1595300896
Cherepovets,59.13,37.9,59.25,90,100,7.76,RU,1595301009
Yatou,37.15,122.38,81.72,59,100,3.09,CN,1595301009
Iaciara,-14.1,-46.63,66.02,64,0,5.64,BR,1595301009
Arifwala,30.29,73.07,76.69,82,100,18.9,PK,1595301009
Beitbridge,-22.22,30.0,49.73,83,0,3.24,ZW,1595301009
Kropotkin,45.44,40.58,71.6,64,77,3.83,RU,1595301009
Omsukchan,62.53,155.8,70.83,34,0,6.08,RU,1595301010
Kavieng,-2.57,150.8,85.55,68,4,9.35,PG,1595300863
Mujiayingzi,42.12,118.78,85.14,38,100,6.8,CN,1595300858
Channel-Port aux Basques,47.57,-59.14,63.66,85,60,11.59,CA,1595301010
Xining,36.62,101.77,67.82,45,97,1.1,CN,1595301010
Kushima,31.46,131.23,93.2,59,40,9.17,JP,1595300909
Liverpool,53.41,-2.98,52.0,87,1,3.36,GB,1595301010
Alihe,50.57,123.72,76.41,27,1,13.56,CN,1595301010
Tura,25.52,90.22,74.89,99,100,5.39,IN,1595300849
Cam Ranh,11.92,109.16,84.2,83,75,1.12,VN,1595301011
The Valley,18.22,-63.06,82.99,81,1,5.99,AI,1595301011
Vila Franca do Campo,37.72,-25.43,66.2,88,75,3.36,PT,1595301011
Três Lagoas,-20.75,-51.68,68.7,51,0,5.57,BR,1595300974
Kampot,10.62,104.18,89.6,66,20,6.93,KH,1595301011
Sakakah,29.97,40.21,93.2,12,0,11.41,SA,1595301011
Shiraoi,42.55,141.35,73.99,93,75,19.46,JP,1595301011
Bilma,18.69,12.92,85.5,33,52,0.67,NE,1595301012
Batetskiy,58.65,30.3,59.4,88,5,1.88,RU,1595301012
Bukachacha,52.98,116.92,66.15,41,20,11.43,RU,1595301013
Sheregesh,52.92,87.99,75.29,56,78,1.81,RU,1595301013
Otradnoye,59.78,30.82,60.8,87,99,4.47,RU,1595301013
Nouakchott,18.09,-15.98,77.11,86,43,13.35,MR,1595301014
Kaitong,44.81,123.15,83.43,24,3,9.55,CN,1595301014
Orašje,45.04,18.69,63.0,100,0,4.7,BA,1595301014
Paamiut,61.99,-49.67,47.52,71,99,5.55,GL,1595301014
Karoi,-16.81,29.69,46.98,85,6,4.5,ZW,1595301014
Kieta,-6.22,155.63,84.24,74,6,8.81,PG,1595301015
Buala,-8.14,159.59,82.02,80,61,11.01,SB,1595301015
Virden,39.5,-89.77,75.99,86,99,4.56,US,1595301008
